Transaction_ID,Order_ID,Order_Date,Delivery_Date,Month,Quarter,Distributor_Name,Distributor_Location,Retailer_ID,Retailer_Name,Retailer_Area,Retailer_Type,Request_Channel,Section,SKU_Code,Product_Name,Consumer_Demand_Reason,Qty_Requested,Qty_Supplied,Unit_Dist_Price_INR,MRP_per_Unit_INR,Gross_Amount_INR,Discount_Percent,Discount_Amount_INR,Net_Amount_INR,GST_Percent,GST_Amount_INR,Invoice_Amount_INR,Order_Status,Payment_Mode,Payment_Status,Remarks
TXN-CP-0001,ORD-2024-0026,01-01-2024,02-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Phone Call,Inner Wear - Men,JK-IWM-003,Trunk - Regular,Daily wear essential,80,80,126,180,10080,0,0.0,10080.0,12,1209.6,11289.6,Fulfilled,Cheque,Paid,
TXN-CP-0002,ORD-2024-0026,01-01-2024,06-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Phone Call,Inner Wear - Women,JK-IWW-014,Camisole - Regular,Daily layering - humid climate,113,113,175,250,19775,0,0.0,19775.0,12,2373.0,22148.0,Fulfilled,Cheque,Paid,
TXN-CP-0003,ORD-2024-0033,01-01-2024,04-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R09,Nath Stores,"Kailashahar, Unakoti",General Store,In-Person Visit,Essentials,JK-ESS-037,Cotton Face Mask (Pk 3),Health & hygiene awareness,49,49,63,90,3087,0,0.0,3087.0,12,370.44,3457.44,Fulfilled,Cash on Delivery,Due (Pending),
TXN-CP-0004,ORD-2024-0034,01-01-2024,02-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Email,Inner Wear - Men,JK-IWM-009,Thermal Trouser,Winter season - hill area demand,77,77,350,500,26950,5,1347.5,25602.5,12,3072.3,28674.8,Fulfilled,Cash on Delivery,Paid,Winter season - hill area customers
TXN-CP-0005,ORD-2024-0034,01-01-2024,02-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R13,Barman Garments,"Belonia, South Tripura",General Store,Email,Inner Wear - Men,JK-IWM-005,Boxer Short,Youth & young adult demand,97,97,210,300,20370,8,1629.6,18740.4,12,2248.85,20989.25,Fulfilled,UPI / NEFT,Partially Paid,
TXN-CP-0006,ORD-2024-0038,02-01-2024,05-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R12,Biswas Collections,"Khowai, Khowai",General Store,In-Person Visit,Inner Wear - Women,JK-IWW-011,Bra - Sports,Women fitness & yoga trend,58,58,245,350,14210,0,0.0,14210.0,12,1705.2,15915.2,Fulfilled,UPI / NEFT,Partially Paid,
TXN-CP-0007,ORD-2024-0038,02-01-2024,03-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R12,Biswas Collections,"Khowai, Khowai",General Store,In-Person Visit,Outer Wear - Women,JK-OWW-025,Track Pants - Women,Athleisure trend,80,80,406,580,32480,8,2598.4,29881.6,12,3585.79,33467.39,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0008,ORD-2024-0038,02-01-2024,03-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R12,Biswas Collections,"Khowai, Khowai",General Store,In-Person Visit,Outer Wear - Men,JK-OWM-020,Sports Shorts,Summer & humid season demand,23,23,280,400,6440,3,193.2,6246.8,12,749.62,6996.42,Fulfilled,UPI / NEFT,Paid,
TXN-CP-0009,ORD-2024-0038,02-01-2024,05-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R12,Biswas Collections,"Khowai, Khowai",General Store,In-Person Visit,Inner Wear - Men,JK-IWM-007,Vest - Premium Cotton,Premium comfort seekers,93,93,140,200,13020,5,651.0,12369.0,12,1484.28,13853.28,Fulfilled,Cash on Delivery,Paid,
TXN-CP-0010,ORD-2024-0003,04-01-2024,09-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R03,Chakraborty Stores,"Agartala, West Tripura",Multi-brand Outlet,Phone Call,Inner Wear - Men,JK-IWM-006,Vest - Regular,Daily wear essential - high volume,92,92,98,140,9016,10,901.6,8114.4,12,973.73,9088.13,Fulfilled,Credit - 30 Days,Paid,
TXN-CP-0011,ORD-2024-0003,04-01-2024,Awaited,January,Q1,Chirag Paul,"Agartala, Tripura",R03,Chakraborty Stores,"Agartala, West Tripura",Multi-brand Outlet,Phone Call,Inner Wear - Men,JK-IWM-007,Vest - Premium Cotton,Premium comfort seekers,106,0,140,200,0,0,0.0,0.0,12,0.0,0.0,Pending Delivery,Credit - 30 Days,N/A,
TXN-CP-0012,ORD-2024-0003,04-01-2024,09-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R03,Chakraborty Stores,"Agartala, West Tripura",Multi-brand Outlet,Phone Call,Essentials,JK-ESS-037,Cotton Face Mask (Pk 3),Health & hygiene awareness,92,92,63,90,5796,5,289.8,5506.2,12,660.74,6166.94,Fulfilled,Credit - 15 Days,Paid,
TXN-CP-0013,ORD-2024-0037,04-01-2024,07-01-2024,January,Q1,Chirag Paul,"Agartala, Tripura",R06,Dey Traders,"Udaipur, Gomati",Textile Shop,Email,Inner Wear - Men,JK-IWM-003,Trunk - Regular,Daily wear essential,87,87,126,180,10962,10,1096.2,9865.8,12,1183.9,11049.7,Fulfilled,Credit - 30 Days,Paid,
